GEO_ID,Geography,TRACT,TOTPOP,5+POP,TOTHH,TOTHU,OCCHU,POVERTY,UNEMPLOYED,PERCAP,noHSDIPL,65+,17-_abs,DISABLE,SINGLPAR_abs,ENGLTW_abs,10+UNITS_abs,MOBILEHOMES,HOUSCROWD_abs,noVEHICLE,GROUPQRTRS_abs,MINORITY_abs,17-,SINGLPAR,MINORITY,ENGLTW,10+UNITS,HOUSCROWD,GROUPQRTRS,r_POVERTY,r_UNEMPLOYED,r_PERCAP,r_noHSDIPL,r_65+,r_17-,r_DISABLE,r_SINGLPAR,r_MINORITY,r_ENGLTW,r_10+UNITS,r_MOBILEHOMES,r_HOUSCROWD,r_noVEHICLE,r_GROUPQRTRS,sc_SE,sc_HH,sc_ML,sc_HT,r_SE,r_HH,r_ML,r_HT,CDC_score,CDC_percrank
1400000US34001000100,"Census Tract 1, Atlantic County, New Jersey",100,2543.0,2331.0,920.0,1016.0,920.0,23.8,9.6,22010.0,31.5,9.6,692.0,8.6,159.0,197.0,121.0,1.7,33.0,28.3,0.0,1601.0,27.2119543846,17.2826086957,62.9571372395,8.45130845131,11.9094488189,3.58695652174,0.0,0.792090539166,0.586978636826,0.698880976602,0.858214649034,0.31002034588,0.799593082401,0.42497456765,0.797304170905,0.566887080366,0.61012207528,0.467700915565,0.953077314344,0.457019328586,0.524160732452,0.161622583927,2.93616480163,2.33189216684,1.17700915565,2.56358087487,0.78509664293,0.721897253306,0.591047812818,0.530773143438,9.00864699898,0.718209562564
1400000US34001000200,"Census Tract 2, Atlantic County, New Jersey",200,3547.0,3373.0,1436.0,2072.0,1436.0,11.0,11.0,28468.0,27.3,22.2,542.0,17.1,60.0,528.0,899.0,0.0,60.0,18.6,0.0,2356.0,15.2805187482,4.1782729805,66.4223287285,15.6537207234,43.388030888,4.1782729805,0.0,0.509282807731,0.68514750763,0.506358087487,0.80022889115,0.923321464903,0.144710071211,0.932349949135,0.272634791455,0.582655137335,0.785350966429,0.728382502543,0.424084435402,0.490590030519,0.439216683622,0.161622583927,2.501017294,2.2730162767,1.36800610376,2.24389623601,0.656663275687,0.682731434385,0.722787385554,0.395727365209,8.38593591048,0.637080366226
1400000US34001000300,"Census Tract 3, Atlantic County, New Jersey",300,4149.0,3715.0,1410.0,1792.0,1410.0,27.0,17.8,15694.0,33.2,8.4,1095.0,7.7,224.0,1164.0,450.0,0.0,237.0,43.8,12.0,3184.0,26.3919016631,15.8865248227,76.7413834659,31.33243607,25.1116071429,16.8085106383,0.289226319595,0.84015768057,0.914420142421,0.887334689725,0.881230925738,0.226220752798,0.754069175992,0.324008138352,0.767802644964,0.63504577823,0.953458799593,0.620803662258,0.424084435402,0.906917599186,0.656917599186,0.571210579858,3.52314343845,2.07210071211,1.58850457782,3.17993387589,0.928789420142,0.537385554425,0.871057985758,0.767802644964,10.3636826043,0.86978636826
1400000US34001000400,"Census Tract 4, Atlantic County, New Jersey",400,3228.0,3021.0,1427.0,2572.0,1427.0,25.7,11.3,25550.0,30.8,13.0,597.0,13.3,120.0,473.0,1919.0,1.2,155.0,34.4,85.0,1909.0,18.4944237918,8.40925017519,59.1387856258,15.6570671963,74.6111975117,10.861948143,2.6332094176,0.821846388606,0.70511190234,0.58977619532,0.85007629705,0.556205493388,0.260935910478,0.81981180061,0.533570701933,0.546286876907,0.785605289929,0.847405900305,0.931586978637,0.786368260427,0.579094608342,0.846642929807,2.96681078332,2.17052390641,1.33189216684,3.99109867752,0.795269582909,0.617243133266,0.693413021363,0.978382502543,10.4603255341,0.879450661241
1400000US34001001500,"Census Tract 15, Atlantic County, New Jersey",1500,1064.0,1041.0,733.0,846.0,733.0,49.3,18.0,14075.0,31.9,31.1,71.0,30.7,0.0,98.0,592.0,0.0,10.0,75.6,12.0,875.0,6.67293233083,0.0,82.2368421053,9.41402497598,69.9763593381,1.36425648022,1.12781954887,0.979654120041,0.917853509664,0.921414038657,0.86495422177,0.976347914547,0.0269582909461,0.993133265514,0.0146236012208,0.672685656155,0.640640895219,0.836215666328,0.424084435402,0.28001017294,0.915437436419,0.767802644964,3.68387589013,2.01106307223,1.31332655137,3.22355035605,0.960834181078,0.493387589013,0.681078331638,0.785605289929,10.2318158698,0.860376398779
1400000US34001001900,"Census Tract 19, Atlantic County, New Jersey",1900,1748.0,1579.0,762.0,1084.0,762.0,9.6,15.9,22413.0,29.6,8.6,445.0,16.6,108.0,112.0,727.0,0.0,95.0,51.6,8.0,1365.0,25.4576659039,14.1732283465,78.0892448513,7.09309689677,67.0664206642,12.467191601,0.45766590389,0.466683621567,0.877034587996,0.687945066124,0.833799593082,0.239445574771,0.700915564598,0.922304170905,0.725839267548,0.643438453713,0.559003051882,0.824516785351,0.424084435402,0.82985757884,0.711851475076,0.647253306205,2.86546286877,2.58850457782,1.2024415056,3.43756358087,0.762207527976,0.848168870804,0.605544252289,0.862665310275,10.0939725331,0.845879959308
1400000US34001010104,"Census Tract 101.04, Atlantic County, New Jersey",10104,1616.0,1601.0,869.0,2076.0,869.0,13.4,6.0,33681.0,5.4,21.8,115.0,12.4,41.0,37.0,572.0,1.5,0.0,14.5,5.0,147.0,7.11633663366,4.71806674338,9.09653465347,2.31105559026,27.5529865125,0.0,0.309405940594,0.578585961343,0.248855544252,0.369404883011,0.177517802645,0.918743641913,0.029501525941,0.777721261445,0.317395727365,0.0755340793489,0.276449643947,0.64013224822,0.945701932859,0.0775686673449,0.397761953204,0.584689725331,1.37436419125,2.04336215666,0.351983723296,2.64585452696,0.326042726348,0.519074262462,0.14521871821,0.563835198372,6.41556459817,0.367243133266
1400000US34001010403,"Census Tract 104.03, Atlantic County, New Jersey",10403,6403.0,6045.0,1819.0,1866.0,1819.0,8.1,7.0,24002.0,18.2,12.3,1872.0,7.8,142.0,302.0,188.0,0.0,65.0,6.6,237.0,3349.0,29.2362954865,7.80648708081,52.3036076839,4.9958643507,10.0750267953,3.57339197361,3.70138997345,0.403357070193,0.34486266531,0.637589013225,0.624237029502,0.50508646999,0.875381485249,0.335325534079,0.507629704985,0.507375381485,0.461851475076,0.437690742625,0.424084435402,0.455493387589,0.247583926755,0.881230925738,2.01004577823,2.2234231943,0.969226856562,2.44608341811,0.507629704985,0.649160732452,0.436164801628,0.472533062055,7.6487792472,0.543234994914
1400000US34001010800,"Census Tract 108, Atlantic County, New Jersey",10800,3045.0,2918.0,1077.0,1190.0,1077.0,13.9,6.3,23746.0,19.2,21.7,540.0,13.3,87.0,236.0,110.0,0.8,46.0,15.7,270.0,646.0,17.7339901478,8.07799442897,21.2151067323,8.08773132282,9.24369747899,4.27112349118,8.86699507389,0.59524415056,0.282171922686,0.645473041709,0.651831129196,0.917217700916,0.225330620549,0.81981180061,0.521363173957,0.228128179044,0.595371312309,0.426246185148,0.90488301119,0.495676500509,0.412512716175,0.943794506612,2.17472024415,2.48372329603,0.823499491353,3.18311291963,0.558494404883,0.804298067141,0.359104781282,0.768311291963,8.66505595117,0.676246185148
1400000US34001011100,"Census Tract 111, Atlantic County, New Jersey",11100,3210.0,3081.0,1173.0,1228.0,1173.0,17.1,7.8,26591.0,22.7,15.2,605.0,10.6,36.0,363.0,39.0,1.0,45.0,9.0,58.0,1162.0,18.8473520249,3.06905370844,36.199376947,11.7818889971,3.17589576547,3.83631713555,1.80685358255,0.675991861648,0.424465920651,0.561291963377,0.726347914547,0.702441505595,0.280264496439,0.645600203459,0.187690742625,0.384282807731,0.702441505595,0.28509664293,0.920396744659,0.472024415056,0.306714140387,0.811800610376,2.38809766022,1.81599694812,1.08672431333,2.79603255341,0.61978636826,0.341556459817,0.519582909461,0.620295015259,8.08685147508,0.596642929807
